Chave : 119736, PRR: 0
Chave : 934992, PRR: 14279
Chave : 645841, PRR: 14386
Chave : 747846, PRR: 14499
Chave : 482457, PRR: 14600
Chave : 574787, PRR: 14710
Chave : 831418, PRR: 14817
Chave : 968562, PRR: 14924
Chave : 576324, PRR: 15031
Chave : 290435, PRR: 15143
Chave : 526086, PRR: 15254
Chave : 119823, PRR: 15372
Chave : 497414, PRR: 15490
Chave : 340883, PRR: 15608
Chave : 892551, PRR: 15714
Chave : 670595, PRR: 15836
Chave : 194101, PRR: 15936
Chave : 167200, PRR: 16036
Chave : 139064, PRR: 16142
Chave : 846636, PRR: 16248
Chave : 310177, PRR: 16354
Chave : 865452, PRR: 16469
Chave : 783429, PRR: 16572
Chave : 878060, PRR: 16672
Chave : 935342, PRR: 16778
Chave : 456376, PRR: 16884
Chave : 363001, PRR: 16987
Chave : 478864, PRR: 17098
Chave : 600402, PRR: 17207
Chave : 483983, PRR: 17327
Chave : 991615, PRR: 17437
Chave : 644573, PRR: 17536
Chave : 853278, PRR: 17647
Chave : 100658, PRR: 17755
Chave : 433115, PRR: 17859
Chave : 760337, PRR: 17961
Chave : 884738, PRR: 18064
Chave : 610102, PRR: 18173
Chave : 830823, PRR: 18295
Chave : 618364, PRR: 18399
Chave : 712563, PRR: 18506
Chave : 493030, PRR: 18611
Chave : 188150, PRR: 18714
Chave : 589642, PRR: 18836
Chave : 846109, PRR: 18946
Chave : 399079, PRR: 19056
Chave : 680135, PRR: 19160
Chave : 621379, PRR: 19264
Chave : 606710, PRR: 19371
Chave : 443319, PRR: 19483
Chave : 228591, PRR: 19595
Chave : 721610, PRR: 19699
Chave : 507395, PRR: 19806
Chave : 213399, PRR: 19913
Chave : 579400, PRR: 20020
Chave : 509951, PRR: 20124
Chave : 930798, PRR: 20229
Chave : 729247, PRR: 20336
Chave : 288344, PRR: 20440
Chave : 275351, PRR: 20544
Chave : 976690, PRR: 20650
Chave : 507111, PRR: 20756
Chave : 547458, PRR: 20860
Chave : 827732, PRR: 20967
Chave : 229489, PRR: 21074
Chave : 175251, PRR: 21181
Chave : 590043, PRR: 21288
Chave : 476037, PRR: 21395
Chave : 674960, PRR: 21499
Chave : 743790, PRR: 21605
Chave : 817283, PRR: 21735
Chave : 201980, PRR: 21866
Chave : 351505, PRR: 21991
Chave : 798806, PRR: 22101
Chave : 153643, PRR: 22235
Chave : 683653, PRR: 22345
Chave : 475264, PRR: 22454
Chave : 912944, PRR: 22578
Chave : 945134, PRR: 22687
Chave : 219959, PRR: 22788
Chave : 793504, PRR: 22895
Chave : 450423, PRR: 22998
Chave : 505178, PRR: 23104
Chave : 408688, PRR: 23209
Chave : 477759, PRR: 23317
Chave : 882441, PRR: 23423
Chave : 727602, PRR: 23526
Chave : 313226, PRR: 23628
Chave : 337027, PRR: 23736
Chave : 649251, PRR: 23838
Chave : 142564, PRR: 23941
Chave : 197782, PRR: 24043
Chave : 709787, PRR: 24156
Chave : 655065, PRR: 24261
Chave : 176778, PRR: 24367
Chave : 559179, PRR: 24491
Chave : 698071, PRR: 24603
Chave : 642950, PRR: 24710
Chave : 477240, PRR: 24819
Chave : 672348, PRR: 24925
Chave : 922844, PRR: 25031
Chave : 948580, PRR: 25139
Chave : 364552, PRR: 25246
Chave : 561601, PRR: 25352
Chave : 584749, PRR: 25460
Chave : 601327, PRR: 25570
Chave : 302578, PRR: 25684
Chave : 756585, PRR: 25800
Chave : 627591, PRR: 25912
Chave : 663563, PRR: 26019
Chave : 108959, PRR: 26137
Chave : 951069, PRR: 26246
Chave : 490641, PRR: 26357
Chave : 443968, PRR: 26455
Chave : 433688, PRR: 26555
Chave : 168578, PRR: 26661
Chave : 294375, PRR: 26776
Chave : 902110, PRR: 26883
Chave : 279816, PRR: 26989
Chave : 994565, PRR: 27101
Chave : 930535, PRR: 27200
Chave : 844642, PRR: 27299
Chave : 292887, PRR: 27398
Chave : 655128, PRR: 27497
Chave : 164038, PRR: 27589
Chave : 163057, PRR: 27688
Chave : 327730, PRR: 27787
Chave : 218187, PRR: 27886
Chave : 697530, PRR: 27982
Chave : 619053, PRR: 28079
Chave : 431406, PRR: 28176
Chave : 256801, PRR: 28272
Chave : 571398, PRR: 28371
Chave : 239669, PRR: 28473
Chave : 530369, PRR: 28572
Chave : 948187, PRR: 28671
Chave : 571059, PRR: 28768
Chave : 470539, PRR: 28865
Chave : 791046, PRR: 28967
Chave : 563971, PRR: 29069
Chave : 823903, PRR: 29171
Chave : 812504, PRR: 29273
Chave : 597719, PRR: 29370
Chave : 716513, PRR: 29475
Chave : 378286, PRR: 29578
Chave : 698982, PRR: 29677
Chave : 624550, PRR: 29774
Chave : 666076, PRR: 29871
Chave : 474145, PRR: 29968
Chave : 572929, PRR: 30064
Chave : 640205, PRR: 30163
Chave : 295930, PRR: 30257
Chave : 823004, PRR: 30354
Chave : 230536, PRR: 30450
Chave : 936142, PRR: 30551
Chave : 724639, PRR: 30653
Chave : 119986, PRR: 30752
Chave : 603370, PRR: 30851
Chave : 532496, PRR: 30947
Chave : 786954, PRR: 31043
Chave : 416348, PRR: 31141
Chave : 506364, PRR: 31240
Chave : 311994, PRR: 31348
Chave : 807442, PRR: 31451
Chave : 235695, PRR: 31552
Chave : 481294, PRR: 31653
Chave : 292670, PRR: 31756
Chave : 127739, PRR: 31861
Chave : 869056, PRR: 31964
Chave : 514471, PRR: 32063
Chave : 903764, PRR: 32162
Chave : 192068, PRR: 32263
Chave : 109815, PRR: 32362
Chave : 495339, PRR: 32464
Chave : 752123, PRR: 32572
Chave : 412775, PRR: 32671
Chave : 249958, PRR: 32773
Chave : 754919, PRR: 32871
Chave : 829637, PRR: 32973
Chave : 931429, PRR: 33077
Chave : 565451, PRR: 33178
Chave : 722334, PRR: 33280
Chave : 630898, PRR: 33379
Chave : 166536, PRR: 33480
Chave : 469135, PRR: 33581
Chave : 678786, PRR: 33689
Chave : 284473, PRR: 33798
Chave : 499389, PRR: 33908
Chave : 541241, PRR: 34017
Chave : 797586, PRR: 34138
Chave : 812823, PRR: 34258
Chave : 598244, PRR: 34382
Chave : 788363, PRR: 34491
Chave : 737787, PRR: 34597
Chave : 445518, PRR: 34699
Chave : 758347, PRR: 34802
Chave : 195133, PRR: 34911
Chave : 991548, PRR: 35017
Chave : 696936, PRR: 35124
Chave : 393176, PRR: 35227
Chave : 626647, PRR: 35329
Chave : 915781, PRR: 35433
Chave : 827852, PRR: 35540
Chave : 800420, PRR: 35642
Chave : 728346, PRR: 35745
Chave : 928642, PRR: 35867
Chave : 442061, PRR: 35970
Chave : 810826, PRR: 36073
Chave : 336798, PRR: 36175
Chave : 830917, PRR: 36278
Chave : 984232, PRR: 36381
Chave : 203667, PRR: 36491
Chave : 395084, PRR: 36597
Chave : 869242, PRR: 36703
Chave : 704537, PRR: 36809
Chave : 692691, PRR: 36908
Chave : 580758, PRR: 37008
Chave : 515486, PRR: 37111
Chave : 884079, PRR: 37213
Chave : 491095, PRR: 37316
Chave : 579764, PRR: 37419
Chave : 263177, PRR: 37517
Chave : 710739, PRR: 37616
Chave : 156129, PRR: 37718
Chave : 178800, PRR: 37817
Chave : 406073, PRR: 37932
Chave : 450089, PRR: 38041
Chave : 894206, PRR: 38151
Chave : 472007, PRR: 38262
Chave : 500287, PRR: 38375
Chave : 365732, PRR: 38488
Chave : 365145, PRR: 38596
Chave : 237841, PRR: 38704
Chave : 497561, PRR: 38809
Chave : 245837, PRR: 38914
Chave : 732075, PRR: 39025
Chave : 657625, PRR: 39130
Chave : 790556, PRR: 39252
Chave : 207626, PRR: 39360
Chave : 902008, PRR: 39463
Chave : 135936, PRR: 39575
Chave : 997759, PRR: 39680
Chave : 470224, PRR: 39785
Chave : 367761, PRR: 39890
Chave : 285586, PRR: 39996
Chave : 122164, PRR: 40102
Chave : 152913, PRR: 40201
Chave : 655156, PRR: 40308
Chave : 989201, PRR: 40414
Chave : 207985, PRR: 40518
Chave : 732449, PRR: 40625
Chave : 665653, PRR: 40730
Chave : 939634, PRR: 40840
Chave : 981796, PRR: 40949
Chave : 269573, PRR: 41055
Chave : 602123, PRR: 41155
Chave : 336717, PRR: 41254
Chave : 238449, PRR: 41364
Chave : 530357, PRR: 41466
Chave : 896911, PRR: 41572
Chave : 391646, PRR: 41677
Chave : 710345, PRR: 41779
Chave : 944525, PRR: 41881
Chave : 800878, PRR: 41992
Chave : 866106, PRR: 42099
Chave : 204794, PRR: 42207
Chave : 849458, PRR: 42313
Chave : 806471, PRR: 42416
Chave : 464589, PRR: 42519
Chave : 591943, PRR: 42628
Chave : 973133, PRR: 42744
Chave : 743965, PRR: 42857
Chave : 528185, PRR: 42971
Chave : 219113, PRR: 43075
Chave : 376803, PRR: 43182
Chave : 233559, PRR: 43293
Chave : 579117, PRR: 43413
Chave : 517674, PRR: 43521
Chave : 980808, PRR: 43626
Chave : 143584, PRR: 43731
Chave : 489643, PRR: 43849
Chave : 986109, PRR: 43967
Chave : 654640, PRR: 44071
Chave : 700895, PRR: 44180
Chave : 407962, PRR: 44308
Chave : 494610, PRR: 44424
Chave : 744305, PRR: 44531
Chave : 512991, PRR: 44636
Chave : 507789, PRR: 44744
Chave : 186262, PRR: 44848
Chave : 978388, PRR: 44974
Chave : 784347, PRR: 45082
Chave : 679408, PRR: 45196
Chave : 306619, PRR: 45302
Chave : 457004, PRR: 45410
Chave : 329255, PRR: 45517
Chave : 900892, PRR: 45625
Chave : 633241, PRR: 45728
Chave : 502372, PRR: 45833
Chave : 719075, PRR: 45940
Chave : 920786, PRR: 46050
Chave : 232605, PRR: 46156
Chave : 601984, PRR: 46266
Chave : 459878, PRR: 46370
Chave : 565530, PRR: 46479
Chave : 202651, PRR: 46592
Chave : 909104, PRR: 46716
Chave : 872719, PRR: 46818
Chave : 997611, PRR: 46924
Chave : 519606, PRR: 47028
Chave : 624248, PRR: 47134
Chave : 783767, PRR: 47245
Chave : 285479, PRR: 47354
Chave : 424793, PRR: 47459
Chave : 256213, PRR: 47566
Chave : 155199, PRR: 47670
Chave : 830871, PRR: 47775
Chave : 757768, PRR: 47878
Chave : 176583, PRR: 47983
Chave : 678864, PRR: 48088
Chave : 854000, PRR: 48190
Chave : 631978, PRR: 48295
Chave : 967058, PRR: 48398
Chave : 878374, PRR: 48501
Chave : 113053, PRR: 48604
Chave : 288738, PRR: 48706
Chave : 594369, PRR: 48811
Chave : 706890, PRR: 48914
Chave : 536032, PRR: 49017
Chave : 747825, PRR: 49123
Chave : 608124, PRR: 49226
Chave : 934739, PRR: 49329
Chave : 757078, PRR: 49433
Chave : 956518, PRR: 49540
Chave : 548584, PRR: 49643
Chave : 132904, PRR: 49746
Chave : 111857, PRR: 49849
Chave : 388383, PRR: 49949
Chave : 276410, PRR: 50054
Chave : 546756, PRR: 50161
Chave : 669229, PRR: 50267
Chave : 766573, PRR: 50394
Chave : 765578, PRR: 50511
Chave : 166613, PRR: 50622
Chave : 883261, PRR: 50731
Chave : 842655, PRR: 50844
Chave : 248167, PRR: 50959
Chave : 976562, PRR: 51091
Chave : 620457, PRR: 51206
Chave : 336697, PRR: 51314
Chave : 648295, PRR: 51427
Chave : 858080, PRR: 51530
Chave : 579910, PRR: 51634
Chave : 735184, PRR: 51747
Chave : 420445, PRR: 51857
Chave : 373504, PRR: 51960
Chave : 266080, PRR: 52068
Chave : 178535, PRR: 52178
Chave : 574531, PRR: 52287
Chave : 606491, PRR: 52395
Chave : 885991, PRR: 52504
Chave : 908170, PRR: 52617
Chave : 487022, PRR: 52718
Chave : 723719, PRR: 52828
Chave : 628922, PRR: 52935
Chave : 232316, PRR: 53036
Chave : 151933, PRR: 53161
Chave : 225577, PRR: 53262
Chave : 443296, PRR: 53363
Chave : 747464, PRR: 53465
Chave : 548566, PRR: 53574
Chave : 510281, PRR: 53673
Chave : 481334, PRR: 53775
Chave : 621142, PRR: 53877
Chave : 907206, PRR: 53977
Chave : 963412, PRR: 54081
Chave : 561805, PRR: 54181
Chave : 177053, PRR: 54280
Chave : 888564, PRR: 54383
Chave : 399592, PRR: 54477
Chave : 616030, PRR: 54576
Chave : 671336, PRR: 54675
Chave : 914194, PRR: 54770
Chave : 632104, PRR: 54865
Chave : 895447, PRR: 54965
Chave : 969519, PRR: 55065
Chave : 149119, PRR: 55168
Chave : 804466, PRR: 55266
Chave : 688199, PRR: 55368
Chave : 977912, PRR: 55468
Chave : 312530, PRR: 55568
Chave : 154572, PRR: 55672
Chave : 299157, PRR: 55775
Chave : 358433, PRR: 55876
Chave : 131991, PRR: 55970
Chave : 844614, PRR: 56077
Chave : 735501, PRR: 56179
Chave : 703956, PRR: 56283
Chave : 547680, PRR: 56388
Chave : 562722, PRR: 56482
Chave : 820860, PRR: 56582
Chave : 894562, PRR: 56681
Chave : 577091, PRR: 56783
Chave : 755818, PRR: 56884
Chave : 839723, PRR: 56982
Chave : 118899, PRR: 57082
Chave : 612231, PRR: 57180
Chave : 163526, PRR: 57278
Chave : 278995, PRR: 57376
Chave : 875706, PRR: 57480
Chave : 712263, PRR: 57587
Chave : 241888, PRR: 57692
Chave : 115934, PRR: 57798
Chave : 214979, PRR: 57908
Chave : 601369, PRR: 58014
Chave : 859735, PRR: 58120
Chave : 868972, PRR: 58224
Chave : 369631, PRR: 58328
Chave : 130797, PRR: 58430
Chave : 770857, PRR: 58567
Chave : 834275, PRR: 58674
Chave : 102432, PRR: 58781
Chave : 776440, PRR: 58894
Chave : 945568, PRR: 59006
Chave : 132404, PRR: 59124
Chave : 395018, PRR: 59236
Chave : 248575, PRR: 59357
Chave : 812631, PRR: 59484
Chave : 220621, PRR: 59590
Chave : 139061, PRR: 59696
Chave : 419108, PRR: 59811
Chave : 391574, PRR: 59923
Chave : 449147, PRR: 60030
Chave : 998635, PRR: 60137
Chave : 437290, PRR: 60279
Chave : 395835, PRR: 60417
Chave : 613321, PRR: 60555
Chave : 865150, PRR: 60669
Chave : 635664, PRR: 60775
Chave : 529300, PRR: 60882
Chave : 430318, PRR: 61001
Chave : 441395, PRR: 61120
Chave : 294015, PRR: 61237
Chave : 950097, PRR: 61354
Chave : 110324, PRR: 61492
Chave : 416938, PRR: 61614
Chave : 586755, PRR: 61742
Chave : 863494, PRR: 61886
Chave : 574538, PRR: 62024
Chave : 514370, PRR: 62162
Chave : 373414, PRR: 62284
Chave : 997019, PRR: 62397
Chave : 910144, PRR: 62510
Chave : 552357, PRR: 62623
Chave : 655342, PRR: 62730
Chave : 897773, PRR: 62843
Chave : 926390, PRR: 62962
Chave : 216408, PRR: 63081
Chave : 548404, PRR: 63208
Chave : 206428, PRR: 63320
Chave : 292458, PRR: 63433
Chave : 919465, PRR: 63549
Chave : 630483, PRR: 63661
Chave : 825224, PRR: 63768
Chave : 404295, PRR: 63894
Chave : 150387, PRR: 64007
Chave : 946844, PRR: 64114
Chave : 751897, PRR: 64232
Chave : 910845, PRR: 64370
Chave : 763316, PRR: 64477
Chave : 727002, PRR: 64588
Chave : 559336, PRR: 64701
Chave : 236251, PRR: 64813
Chave : 529747, PRR: 64925
Chave : 858323, PRR: 65044
Chave : 158617, PRR: 65156
Chave : 334713, PRR: 65271
Chave : 318842, PRR: 65376
Chave : 649501, PRR: 65483
Chave : 445540, PRR: 65589
Chave : 371999, PRR: 65695
Chave : 218472, PRR: 65802
Chave : 580250, PRR: 65906
Chave : 907556, PRR: 66019
Chave : 327269, PRR: 66133
Chave : 892361, PRR: 66240
Chave : 398442, PRR: 66356
Chave : 423598, PRR: 66464
Chave : 327184, PRR: 66574
Chave : 314582, PRR: 66680
Chave : 975779, PRR: 66803
Chave : 337568, PRR: 66913
Chave : 459597, PRR: 67039
Chave : 511988, PRR: 67149
Chave : 455917, PRR: 67258
Chave : 304879, PRR: 67371
Chave : 881425, PRR: 67481
Chave : 208817, PRR: 67584
Chave : 918862, PRR: 67687
Chave : 523984, PRR: 67790
Chave : 226520, PRR: 67893
Chave : 413066, PRR: 67999
Chave : 177491, PRR: 68113
Chave : 906786, PRR: 68220
Chave : 252960, PRR: 68324
Chave : 753041, PRR: 68450
Chave : 275656, PRR: 68558
Chave : 366151, PRR: 68679
Chave : 143520, PRR: 68793
Chave : 578715, PRR: 68906
Chave : 728171, PRR: 69013
Chave : 147189, PRR: 69117
Chave : 626834, PRR: 69226
Chave : 840720, PRR: 69329
Chave : 911131, PRR: 69435
Chave : 814705, PRR: 69541
Chave : 896748, PRR: 69649
Chave : 640263, PRR: 69755
Chave : 756661, PRR: 69864
Chave : 267816, PRR: 69972
Chave : 876992, PRR: 70080
Chave : 866801, PRR: 70190
Chave : 135106, PRR: 70299
Chave : 995558, PRR: 70409
Chave : 577604, PRR: 70519
Chave : 334208, PRR: 70629
Chave : 601206, PRR: 70738
Chave : 335613, PRR: 70848
Chave : 586214, PRR: 70957
Chave : 645424, PRR: 71065
Chave : 584595, PRR: 71175
Chave : 924430, PRR: 71285
Chave : 842675, PRR: 71393
Chave : 379599, PRR: 71491
Chave : 280286, PRR: 71616
Chave : 147622, PRR: 71736
Chave : 592104, PRR: 71858
Chave : 936914, PRR: 71961
Chave : 689421, PRR: 72060
Chave : 162509, PRR: 72163
Chave : 205789, PRR: 72265
Chave : 559033, PRR: 72364
Chave : 411708, PRR: 72459
Chave : 945341, PRR: 72562
Chave : 985128, PRR: 72672
Chave : 859902, PRR: 72778
Chave : 767859, PRR: 72884
Chave : 235747, PRR: 72987
Chave : 644183, PRR: 73088
Chave : 956443, PRR: 73190
Chave : 278796, PRR: 73289
Chave : 608556, PRR: 73392
Chave : 454763, PRR: 73490
Chave : 908461, PRR: 73589
Chave : 333252, PRR: 73687
Chave : 332105, PRR: 73790
Chave : 874411, PRR: 73890
Chave : 700665, PRR: 73991
Chave : 582288, PRR: 74095
Chave : 903047, PRR: 74197
Chave : 446936, PRR: 74296
Chave : 758257, PRR: 74395
Chave : 205579, PRR: 74496
Chave : 542261, PRR: 74600
Chave : 467776, PRR: 74699
Chave : 547808, PRR: 74799
Chave : 148603, PRR: 74898
Chave : 620151, PRR: 74997
Chave : 423148, PRR: 75098
Chave : 285805, PRR: 75197
Chave : 666963, PRR: 75296
Chave : 218058, PRR: 75395
Chave : 824968, PRR: 75508
Chave : 583791, PRR: 75613
Chave : 288895, PRR: 75719
Chave : 622218, PRR: 75821
Chave : 471679, PRR: 75943
Chave : 330603, PRR: 76052
Chave : 340377, PRR: 76154
Chave : 325580, PRR: 76260
Chave : 355939, PRR: 76366
Chave : 537551, PRR: 76471
Chave : 817217, PRR: 76577
Chave : 307610, PRR: 76683
Chave : 934843, PRR: 76788
Chave : 479633, PRR: 76892
Chave : 261810, PRR: 76997
Chave : 251498, PRR: 77100
Chave : 652676, PRR: 77203
Chave : 430162, PRR: 77309
Chave : 107565, PRR: 77410
Chave : 137773, PRR: 77513
Chave : 150881, PRR: 77616
Chave : 818305, PRR: 77738
Chave : 772993, PRR: 77847
Chave : 335686, PRR: 77950
Chave : 354163, PRR: 78053
Chave : 131859, PRR: 78156
Chave : 102237, PRR: 78260
Chave : 496689, PRR: 78363
Chave : 386266, PRR: 78466
Chave : 189496, PRR: 78569
Chave : 448454, PRR: 78678
Chave : 152055, PRR: 78781
Chave : 516954, PRR: 78884
Chave : 346222, PRR: 78994
Chave : 827364, PRR: 79114
Chave : 865575, PRR: 79227
Chave : 666784, PRR: 79330
Chave : 908304, PRR: 79459
Chave : 724035, PRR: 79567
Chave : 616507, PRR: 79676
Chave : 743467, PRR: 79785
Chave : 542565, PRR: 79890
Chave : 666420, PRR: 79995
Chave : 716343, PRR: 80099
Chave : 166243, PRR: 80202
Chave : 869527, PRR: 80305
Chave : 793316, PRR: 80409
Chave : 525660, PRR: 80513
Chave : 228542, PRR: 80618
Chave : 345892, PRR: 80723
Chave : 235832, PRR: 80828
Chave : 710139, PRR: 80932
Chave : 352426, PRR: 81057
Chave : 384442, PRR: 81165
Chave : 286876, PRR: 81288
Chave : 300150, PRR: 81410
Chave : 604759, PRR: 81538
Chave : 374411, PRR: 81666
Chave : 447691, PRR: 81791
Chave : 735405, PRR: 81907
Chave : 476328, PRR: 82015
Chave : 188892, PRR: 82118
Chave : 738918, PRR: 82226
Chave : 320338, PRR: 82343
Chave : 443947, PRR: 82450
Chave : 167317, PRR: 82558
Chave : 430437, PRR: 82666
Chave : 873593, PRR: 82774
Chave : 653808, PRR: 82882
Chave : 122734, PRR: 82992
Chave : 603486, PRR: 83102
Chave : 855783, PRR: 83211
Chave : 379870, PRR: 83323
Chave : 536577, PRR: 83436
Chave : 178873, PRR: 83547
Chave : 300562, PRR: 83662
Chave : 555619, PRR: 83794
Chave : 758060, PRR: 83922
Chave : 489526, PRR: 84044
Chave : 861565, PRR: 84166
Chave : 692765, PRR: 84288
Chave : 428588, PRR: 84410
Chave : 116583, PRR: 84521
Chave : 779587, PRR: 84638
Chave : 827888, PRR: 84751
Chave : 983194, PRR: 84866
Chave : 549068, PRR: 84978
Chave : 116416, PRR: 85082
Chave : 787983, PRR: 85189
Chave : 473317, PRR: 85300
Chave : 139920, PRR: 85414
Chave : 464379, PRR: 85522
Chave : 110577, PRR: 85633
Chave : 964532, PRR: 85739
Chave : 783365, PRR: 85839
Chave : 243580, PRR: 85942
Chave : 936931, PRR: 86045
Chave : 464273, PRR: 86148
Chave : 142893, PRR: 86254
Chave : 583948, PRR: 86362
Chave : 466262, PRR: 86476
Chave : 868179, PRR: 86589
Chave : 368509, PRR: 86700
Chave : 825334, PRR: 86813
Chave : 584286, PRR: 86921
Chave : 426369, PRR: 87025
Chave : 621175, PRR: 87128
Chave : 740683, PRR: 87247
Chave : 974438, PRR: 87353
Chave : 443137, PRR: 87460
Chave : 174313, PRR: 87586
Chave : 515429, PRR: 87689
Chave : 168714, PRR: 87799
Chave : 967565, PRR: 87909
Chave : 216270, PRR: 88018
Chave : 650875, PRR: 88128
Chave : 971511, PRR: 88248
Chave : 413953, PRR: 88349
Chave : 450658, PRR: 88447
Chave : 228299, PRR: 88550
Chave : 717202, PRR: 88653
Chave : 772804, PRR: 88756
Chave : 932466, PRR: 88876
Chave : 533299, PRR: 88996
Chave : 284003, PRR: 89100
Chave : 205704, PRR: 89199
Chave : 346837, PRR: 89300
Chave : 371665, PRR: 89403
Chave : 574882, PRR: 89503
Chave : 110888, PRR: 89610
Chave : 375055, PRR: 89719
Chave : 482716, PRR: 89838
Chave : 603519, PRR: 89944
Chave : 268570, PRR: 90041
Chave : 820558, PRR: 90145
Chave : 498729, PRR: 90260
Chave : 950716, PRR: 90372
Chave : 128894, PRR: 90490
Chave : 881492, PRR: 90597
Chave : 321346, PRR: 90704
Chave : 581291, PRR: 90811
Chave : 370644, PRR: 90918
Chave : 545031, PRR: 91025
Chave : 201089, PRR: 91132
Chave : 790967, PRR: 91239
Chave : 558007, PRR: 91346
Chave : 125552, PRR: 91453
Chave : 527643, PRR: 91560
Chave : 110872, PRR: 91667
Chave : 893113, PRR: 91774
Chave : 575211, PRR: 91908
Chave : 665536, PRR: 92025
Chave : 273487, PRR: 92138
Chave : 280674, PRR: 92250
Chave : 248341, PRR: 92363
Chave : 113250, PRR: 92475
Chave : 430658, PRR: 92581
Chave : 449510, PRR: 92688
Chave : 814098, PRR: 92796
Chave : 491496, PRR: 92897
Chave : 519546, PRR: 93004
Chave : 399722, PRR: 93119
Chave : 898714, PRR: 93235
Chave : 284335, PRR: 93349
Chave : 328660, PRR: 93467
Chave : 939217, PRR: 93570
Chave : 312341, PRR: 93669
Chave : 851500, PRR: 93775
Chave : 206063, PRR: 93879
Chave : 911054, PRR: 93988
Chave : 990316, PRR: 94088
Chave : 998798, PRR: 94189
Chave : 743895, PRR: 94291
